Year	Industry_aggregation_NZSIOC	Industry_code_NZSIOC	Industry_name_NZSIOC	Units	Variable_code	Variable_name	Variable_category	Value	Industry_code_ANZSIC06
2018	Level 1	99999	All industries	Dollars (millions)	H01	Total income	Financial performance	691859	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H04	Sales, government funding, grants and subsidies	Financial performance	605766	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H05	Interest, dividends and donations	Financial performance	63509	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H07	Non-operating income	Financial performance	22583	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H08	Total expenditure	Financial performance	597623	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H09	Interest and donations	Financial performance	34223	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H10	Indirect taxes	Financial performance	7124	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H11	Depreciation	Financial performance	19863	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H12	Salaries and wages paid	Financial performance	106351	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H13	Redundancy and severance	Financial performance	297	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H14	Salaries and wages to self employed commission agents	Financial performance	1659	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H19	Purchases and other operating expenses	Financial performance	418642	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H20	Non-operating expenses	Financial performance	9762	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H21	Opening stocks	Financial performance	59433	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H22	Closing stocks	Financial performance	63592	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H23	Surplus before income tax	Financial performance	98395	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H24	Total assets	Financial position	2068648	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H25	Current assets	Financial position	571177	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H26	Fixed tangible assets	Financial position	499274	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H29	Other assets	Financial position	998194	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H30	Total equity and liabilities	Financial position	2068649	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H31	Shareholders funds or owners equity	Financial position	700186	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H32	Current liabilities	Financial position	740971	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars (millions)	H33	Other liabilities	Financial position	627488	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars	H34	Total income per employee count	Financial ratios	376800	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Dollars	H35	Surplus per employee count	Financial ratios	53600	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Percentage	H36	Current ratio	Financial ratios	77	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Percentage	H37	Quick ratio	Financial ratios	69	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Percentage	H39	Return on equity	Financial ratios	14	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
2018	Level 1	99999	All industries	Percentage	H40	Return on total assets	Financial ratios	5	ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)waqas,2020,Pakistan

waqas,2020,Pakistan
waqas bilal,2020,Pakistan
waqas bilal 1,2020,Pakistan
waqas bilal 1,2020,Pakistan
waqas bilal 1,2020,Pakistan
waqas bilal 1,2020,Pakistan
waqas bilal 1,2020,Pakistan
waqas bilal 1,2020,Pakistan
